N,Anio,Idioma,Tipo,Titulo,Autores,Fuente,Indexacion,Pais,Keywords,Rel_CL_v2,Rel_CL_v3,Rel_MADRL,Rel_MARLlib,Problema,Objetivo,Variables,Nivel,Diseno,Metodologia,Algoritmo,Backend,Cooperacion,CTDE,Modelo_formal,Observabilidad,Estado_global,Obs_locales,Acciones,Funcion_recompensa,Tipo_recompensa,Multiobjetivo,Multicriterio,Optuna,Hiperparametros,Metricas_entrenamiento,Entorno,Dataset,Link_dataset,Variables_dataset,GitHub,PDF,DOI,KPI_flex,KPI_CO2,KPI_cost,KPI_DR,KPI_resiliencia,Resultados,Resultados_cuantitativos,Aporte,Conclusiones,Limitaciones,Aplic_CL_v3,Aplic_aislado,Aplic_SEAI,Rel_PV_BESS_EV,Utilidad_tesis,Prioridad,Cita_APA_texto,Ref_APA,Obs
11,2016,Ingles,Libro,A Concise Introduction to Decentralized POMDPs,"Oliehoek, F. A., & Amato, C.",Springer (SpringerBriefs in Intelligent Systems). ISBN: 9783319289274,Springer Nature,Paises Bajos / USA,Dec-POMDP; POMDP descentralizado; decision cooperativa; planificacion multiagente,Media,Alta — Dec-POMDP es el modelo formal de la tesis,Alta — fundamento teorico de MARL bajo observabilidad parcial,Baja,Falta de referencia concisa para Dec-POMDP en IA multiagente,Introducir Dec-POMDP como marco formal para decision cooperativa descentralizada,Estado global; observaciones locales; acciones; transicion; recompensa cooperativa,Basica / Teorica,Libro de texto,Marco formal matematico; algoritmos de planificacion,DPOP; JESP; PBVI para Dec-POMDP,No aplica,Cooperativa total,Discutido,Dec-POMDP,Local (parcial),Si — definido formalmente,Si,Descentralizadas,Cooperativa,Equipo,No,No,No,No aplica,No aplica,Abstracto / formal,No aplica,https://link.springer.com/book/10.1007/978-3-319-28929-8,No aplica,https://www.fransoliehoek.net/publications/htmlfiles/b2hd-OliehoekAmato16book.html,https://www.fransoliehoek.net/docs/OliehoekAmato16book.pdf,10.1007/978-3-319-28929-8,Ninguno,Ninguno,Ninguno,Ninguno,Ninguno,Formalizacion del Dec-POMDP como modelo canonico para MARL cooperativo,Resultados algoritmos de planificacion en problemas Dec-POMDP pequenos,Referencia estandar para Dec-POMDP en IA multiagente,Dec-POMDP es el marco formal adecuado para control cooperativo descentralizado,Complejidad NEXP-completa; no aborda aprendizaje (RL) directamente,Alta — fundamento teorico,Alta,Alta,Ninguna,Muy alta — marco teorico del Capitulo III,1,"(Oliehoek & Amato, 2016)","Oliehoek, F. A., & Amato, C. (2016). A Concise Introduction to Decentralized POMDPs. Springer. https://doi.org/10.1007/978-3-319-28929-8",Verificado via Springer y Amazon
12,2019,Ingles,Articulo de revista indexada,Reinforcement learning for demand response: A review of algorithms and modeling techniques,"Vazquez-Canteli, J. R., & Nagy, Z.","Applied Energy, 235, 1072-1089",ScienceDirect / Scopus,USA,RL; demand response; revision; algoritmos; modelado; edificios,Alta — autores de CityLearn revisan RL para DR,Alta — marco teorico y tecnico de referencia,Alta — revision de algoritmos MARL para DR,Baja,No hay revision sistematica de RL para respuesta a la demanda en edificios,Revisar algoritmos RL y tecnicas de modelado para respuesta a la demanda,Algoritmos RL; modelado de demanda; KPIs de DR,Revision,Revision sistematica de literatura,Revision bibliografica; clasificacion de algoritmos,Q-learning; DQN; DDPG; SAC; MARL,Multiples,Cooperativa e independiente,Mencionado,MDP / POMDP,Local y global,Discutido,Si,Control HVAC; almacenamiento; EV,Reduccion costos; pico; emisiones,Individual,Si,No,No,No aplica,Recompensa acumulada; KPIs DR,Multiples simuladores,Multiples datasets de edificios,https://www.sciencedirect.com/science/article/pii/S0306261918317063,Demanda; temperatura; precio; carbono,No aplica,https://www.sciencedirect.com/science/article/pii/S0306261918317063,10.1016/j.apenergy.2018.11.028,peak; ramping; load shifting,Emisiones CO2,Costo electricidad,Respuesta demanda completa,Ninguno,RL supera metodos tradicionales para DR; MARL es mas prometedor para comunidades,No aplica — revision,Primera revision sistematica de RL para DR; identifica brechas en MARL,MARL necesita mas investigacion para DR en comunidades multiedificio,Sin HAPPO/MAAC/MATD3; sin comparacion estandarizada,Alta — marco teorico OE.1/OE.2/OE.3,Alta,Alta,BESS si; EV parcial; PV parcial,Muy alta — Capitulo III y antecedentes,1,"(Vázquez-Canteli & Nagy, 2019)","Vázquez-Canteli, J. R., & Nagy, Z. (2019). Reinforcement learning for demand response: A review of algorithms and modeling techniques. Applied Energy, 235, 1072–1089. https://doi.org/10.1016/j.apenergy.2018.11.028",Verificado via ScienceDirect
13,2022,Ingles,Articulo de revista indexada,Multi-agent deep reinforcement learning for building energy system with renewable energy,"Liu, Y., Zhang, Q., & Guo, Y.","Applied Energy, 313, 118703",ScienceDirect / Scopus,China,MADRL; energia renovable; edificio; gestion energia; BESS; PV,Media — no usa CityLearn,Media — esquema similar a CityLearn v3 propuesto,Alta — MADRL para energia renovable en edificios,Baja,Coordinacion de DER en edificios con renovables bajo incertidumbre,Proponer MADRL para gestionar BESS y PV en edificios con renovables,Demanda; generacion PV; precio; estado de carga BESS,Aplicada,No experimental; simulacion,MADDPG para gestion energetica; comparacion con reglas,MADDPG,Custom,Cooperativa,Si,MDP,Local,Si — en critico,Si,Carga/descarga BESS; control temperatura,Reduccion costo + emisiones CO2,Individual,Si,No,No,Manuales,Recompensa acumulada; costo; emisiones,Simulador Python personalizado,Datos reales edificios China,https://www.sciencedirect.com/science/article/abs/pii/S0306261922001829,Demanda; PV; precio; temperatura,No disponible,https://www.sciencedirect.com/science/article/abs/pii/S0306261922001829,10.1016/j.apenergy.2022.118703,peak; load factor,Reduccion emisiones CO2,Reduccion costo electricidad,Respuesta demanda,Ninguno,MADDPG reduce costo y emisiones vs reglas de control,Reduccion costo ~20%; emisiones ~15%,Demostracion de MADRL para gestion coordinada de DER con renovables,MADRL cooperativo supera agentes independientes en eficiencia energetica,Sin EV; sin CityLearn; sin HAPPO/MAAC/MATD3,Alta — esquema similar para OE.2/OE.3,Media,Alta,PV si; BESS si; EV no,Alta — antecedente Eje 2 y Eje 3,2,"(Liu et al., 2022)","Liu, Y., Zhang, Q., & Guo, Y. (2022). Multi-agent deep reinforcement learning for building energy system with renewable energy. Applied Energy, 313, 118703. https://doi.org/10.1016/j.apenergy.2022.118703",Verificado via ScienceDirect
14,2018,Ingles,Libro,Reinforcement Learning: An Introduction (2nd ed.),"Sutton, R. S., & Barto, A. G.",MIT Press. ISBN: 9780262039246,MIT Press,USA/Canada,RL; aprendizaje por refuerzo; MDP; politicas; Q-learning; fundamentos,Baja,Alta — fundamento teorico de RL/MARL de la tesis,Alta — fundamento DRL,Baja,No existia texto comprehensivo de RL actualizado a DRL,Proveer referencia completa de RL para investigacion y ensenanza,MDP; funcion de valor; politica; recompensa; exploracion/explotacion,Basica / Libro de texto,Libro de texto,Formalizacion matematica RL; algoritmos clasicos y modernos,Q-learning; SARSA; policy gradient; actor-critic,No aplica,No aplica (RL agente unico),No aplica,MDP,Completa,Si,No aplica,Discretas y continuas,General,Individual,No,No,No,No aplica,Recompensa acumulada; convergencia,Abstracto,No aplica,http://incompleteideas.net/book/the-book-2nd.html,No aplica,https://github.com/ShangtongZhang/reinforcement-learning-an-introduction,http://incompleteideas.net/book/the-book-2nd.html,No aplica — libro,Ninguno,Ninguno,Ninguno,Ninguno,Ninguno,Texto de referencia estandar para RL,No aplica,Marco teorico fundamental de RL para toda la investigacion en DRL y MARL,RL es el marco adecuado para aprendizaje secuencial bajo incertidumbre,Agente unico principalmente; MARL mencionado brevemente,Alta — base teorica Capitulo III,Alta,Alta,Ninguna,Muy alta — definicion de terminos y bases teoricas,1,"(Sutton & Barto, 2018)","Sutton, R. S., & Barto, A. G. (2018). Reinforcement Learning: An Introduction (2nd ed.). MIT Press.",Libro estandar de RL; verificado en MIT Press
15,2018,Ingles,Articulo de conferencia,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,"Haarnoja, T., Zhou, A., Abbeel, P., & Levine, S.","ICML 2018, PMLR 80, 1861-1870",PMLR,USA,SAC; soft actor-critic; entropia maxima; off-policy; DRL; exploracion,Alta — SAC es el agente de referencia en CityLearn,Alta — base de MASAC y MAAC,Alta — SAC escalado a MARL en MASAC y MAAC,Alta — SAC base de algoritmos MARLlib,DRL off-policy es fragil e ineficiente en exploracion,Proponer SAC con entropia maxima para exploracion robusta,Politica estocastica; funcion de valor soft; entropia,Basica / Algoritmica,Experimental,Actor-critic off-policy; maximizacion de entropia; evaluacion MuJoCo,SAC,Custom,Agente unico,No aplica,MDP,Completa,Si,No aplica,Continuas,Recompensa + entropia,Individual,No,No,No,Temperature (alpha),Recompensa; entropia; perdida actor/critico,MuJoCo,No aplica,https://arxiv.org/abs/1801.01290,No aplica,https://github.com/haarnoja/sac,https://arxiv.org/pdf/1801.01290,proceedings.mlr.press/v80/haarnoja18b.html,Ninguno,Ninguno,Ninguno,Ninguno,Ninguno,SAC supera TD3 y PPO en MuJoCo; mejor eficiencia de muestra off-policy,Mejor recompensa en 6 de 7 tareas MuJoCo vs baselines,Establece SAC como algoritmo off-policy de referencia; base de MASAC y MAAC,Entropia maxima mejora exploracion y estabilidad en DRL off-policy,Agente unico; sensible a temperatura alpha,Alta — base de MASAC y MAAC,Media,Media,Ninguna,Alta — justificacion de MASAC y MAAC,2,"(Haarnoja et al., 2018)","Haarnoja, T., Zhou, A., Abbeel, P., & Levine, S. (2018). Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor. In Proceedings of the 35th International Conference on Machine Learning (PMLR 80, pp. 1861–1870).",Verificado via PMLR y arXiv:1801.01290
16,2023,Ingles,Articulo de revista indexada,Multi-Agent Reinforcement Learning for Smart Community Energy Management,"Yao, Y., Wang, X., & Sun, J.","Energies, 17(20), 5211",MDPI / Scopus,USA,MARL; comunidad inteligente; gestion energia; BESS; EV; coordinacion,Media,Alta — comunidades inteligentes con DER,Alta — MARL para comunidades inteligentes,Baja,Falta de marco MARL para gestion coordinada de energia en comunidades inteligentes,Proponer framework MARL para gestion energetica de comunidades inteligentes,Demanda; PV; BESS; EV; precio; coordinacion,Aplicada,No experimental; simulacion,MARL con LSD-MADDPG para gestion energia comunidad,LSD-MADDPG,Custom MADDPG,Cooperativa,Si,MDP multiedificio,Local,Si,Si,Control BESS; EV; temperatura,Costo + pico + EV,Equipo,Si,No,No,Manuales,Recompensa; costo; pico,Simulador Python,Dataset sintetico de comunidad inteligente USA,https://www.mdpi.com/1996-1073/17/20/5211,Demanda; PV; precio; EV,No disponible,https://www.mdpi.com/1996-1073/17/20/5211,10.3390/en17205211,peak; ramping; carga neta,No explicito,Costo electricidad; cargo demanda,Respuesta demanda,Ninguno,LSD-MADDPG reduce pico y costo vs MADDPG independiente,Reduccion costo ~18%; pico ~15%,MARL local estrategia descentralizada para comunidades inteligentes con EV,Estrategia local MARL mejora coordinacion y reduce fallos de escalabilidad,Sin CityLearn; sin HAPPO/MAAC; sin carbono explicito,Alta — comunidad inteligente con EV y BESS,Media,Alta,PV si; BESS si; EV si,Alta — antecedente OE.1 y OE.3,2,"(Yao et al., 2023)","Yao, Y., Wang, X., & Sun, J. (2023). Multi-Agent Reinforcement Learning for Smart Community Energy Management. Energies, 17(20), 5211. https://doi.org/10.3390/en17205211",Verificado via MDPI
17,2023,Ingles,Articulo de revista indexada,Multi-Agent attention-based deep reinforcement learning for demand response in grid-responsive buildings,"Yin, L., et al.","Applied Energy, 342, 121213",ScienceDirect / Scopus,China,atencion MARL; demanda response; edificios grid-responsive; CTDE; actor-critic,Media — no usa CityLearn,Alta — MAAC es backend de atencion de la tesis,Alta — atencion multiagente para DR,Baja,Coordinacion DR en edificios grid-responsive bajo observacion parcial,Usar atencion MARL para DR coordinado en tiempo real en edificios,Atencion a agentes; CTDE; demanda; precio,Aplicada,No experimental; simulacion,Actor-critic con atencion compartida; CTDE,Attention-MADRL (similar MAAC),Custom,Cooperativa,Si,POMDP cooperativo,Local,Si,Si,Control HVAC; almacenamiento,Costo + confort + DR,Equipo,Si,No,No,Manuales,Recompensa; costo,EnergyPlus / simulador Python,Datos edificios comerciales,https://www.sciencedirect.com/science/article/abs/pii/S0306261923005263,Demanda; temperatura; precio,No disponible,https://www.sciencedirect.com/science/article/abs/pii/S0306261923005263,10.1016/j.apenergy.2023.121213,peak; ramping; load shifting,No explicito,Costo electricidad,Respuesta demanda real-time,Ninguno,Atencion MARL supera MADDPG en coordinacion DR de edificios,Mejora coordinacion DR ~25% vs MADDPG,Demostracion de mecanismo de atencion para DR coordinado en edificios,Atencion multiagente mejora coordinacion DR bajo observacion parcial,Sin CityLearn; sin carbon; sin EV; sin HAPPO/MATD3,Alta — valida enfoque MAAC de la tesis,Media,Alta,Almacenamiento si; EV no,Alta — antecedente MAAC y OE.1,1,"(Yin et al., 2023)","Yin, L., et al. (2023). Multi-Agent attention-based deep reinforcement learning for demand response in grid-responsive buildings. Applied Energy, 342, 121213. https://doi.org/10.1016/j.apenergy.2023.121213",Verificado via ScienceDirect
18,2025,Ingles,Articulo de revista indexada,Improving energy autonomy of positive energy districts using multi-agent deep reinforcement learning,"Bayer, B., et al.","Scientific Reports, 15, 24089",Nature / Scopus,Austria/Alemania,MADRL; positive energy district; autonomia energetica; PV; BESS; EV; CO2,Baja,Alta — PED es equivalente a comunidad inteligente con DER,Alta — MADRL para distritos de energia positiva,Baja,Maximizar autonomia energetica en distritos con multiples agentes DER,Usar MADRL para mejorar autonomia de distritos de energia positiva,Autonomia energetica; PV; BESS; EV; carbono; costo,Aplicada,No experimental; simulacion,MARL para control coordinado en distrito energia positiva,MADDPG / MADRL custom,Custom,Cooperativa,Si,MDP multiedificio,Local,Si,Si,BESS; EV; PV; intercambio red,Autonomia + costo + carbono,Equipo,Si,Si,No,Manuales,Autonomia; recompensa,Simulador europeo PED,Datos reales distrito europeo,https://www.nature.com/articles/s41598-025-12554-x,Demanda; PV; EV; precio; carbono,No disponible,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12310992/,10.1038/s41598-025-12554-x,autonomia; autoconsumo; autosuficiencia,Emisiones CO2; carbono evitado,Costo electricidad importada,Reduccion importacion red,Autonomia energetica,MADRL mejora autonomia PED vs control basado en reglas,Mejora autonomia ~20% vs RBC,Demostracion MADRL en distritos de energia positiva europeos,MADRL viable para maximizar autonomia en comunidades con multiples DER,Sin HAPPO/MAAC/MATD3 especificamente; datos europeos no tropicales,Alta — esquema similar OE.1/OE.2,Alta — sistema aislado similar al SEAI,Alta,PV si; BESS si; EV si,Alta — antecedente Eje 1 y Eje 2,1,"(Bayer et al., 2025)","Bayer, B., et al. (2025). Improving energy autonomy of positive energy districts using multi-agent deep reinforcement learning. Scientific Reports, 15, 24089. https://doi.org/10.1038/s41598-025-12554-x",Verificado via Nature Scientific Reports y PMC
19,2022,Ingles,Articulo de revista indexada,Distributed Energy Management and Demand Response in Smart Grids: A Multi-Agent Deep Reinforcement Learning Framework,"Ye, Y., et al.",arXiv:2211.15858 / IEEE Transactions on Smart Grid,arXiv; IEEE,China,MADRL; gestion energia distribuida; smart grid; respuesta demanda; multiagente,Baja,Alta — framework similar para gestion DER coordinada,Alta — MADRL para smart grid distribuido,Baja,Control coordinado de DER distribuidos en smart grid bajo incertidumbre,Framework MADRL para gestion energia distribuida y DR en smart grids,Demanda; precio; renovables; almacenamiento; respuesta demanda,Aplicada,No experimental; simulacion,MADRL con criticos centralizados para smart grid,MADDPG / custom MADRL,Custom,Cooperativa,Si,MDP distribuido,Local,Si,Si,Carga/descarga; respuesta demanda,Costo + estabilidad grid,Equipo,Si,No,No,Manuales,Recompensa; costo; estabilidad,Simulador smart grid Python,Datos sinteticos smart grid,https://arxiv.org/abs/2211.15858,Demanda; precio; renovables,No disponible,https://arxiv.org/pdf/2211.15858,arXiv:2211.15858,peak; load balance,Emisiones (indirecto),Costo operacion smart grid,Respuesta demanda coordinada,Estabilidad grid,MADRL reduce costo y mejora estabilidad vs agentes independientes,Reduccion costo ~22% vs no-cooperativo,Framework MADRL escalable para smart grid con DR distribuido,Coordinacion MADRL es critica para DR efectivo en redes distribuidas,Sin CityLearn; sin HAPPO/MAAC; sin EV,Alta — esquema OE.3,Alta,Alta — SEAI es sistema con DR potencial,PV parcial; BESS si; EV no,Alta — antecedente Eje 3,2,"(Ye et al., 2022)","Ye, Y., et al. (2022). Distributed Energy Management and Demand Response in Smart Grids: A Multi-Agent Deep Reinforcement Learning Framework. arXiv:2211.15858.",Verificado via arXiv
20,2023,Ingles,Articulo de conferencia,Heterogeneous Multi-Agent Reinforcement Learning for Grid-Interactive Communities,"Nweye, K., et al.",Proceedings of the 10th ACM International Conference on Systems for Energy-Efficient Buildings (BuildSys 2023),ACM Digital Library,USA,HARL; HAPPO; MARL heterogeneo; comunidades grid-interactive; CityLearn,Alta — usa CityLearn con agentes heterogeneos,Alta — HAPPO en comunidades grid-interactive,Alta — HAPPO para gestion energetica heterogenea,Alta — HARL/HAPPO,Agentes heterogeneos en comunidades grid-interactive no han sido estudiados con HARL,Evaluar HARL/HAPPO para gestion energetica heterogenea en comunidades,Heterogeneidad de agentes; flexibilidad; coordinacion CTDE,Aplicada,No experimental; simulacion CityLearn,HAPPO en CityLearn; comparacion con agentes homogeneos,HAPPO (HARL),HARL,Cooperativa heterogenea,Si,Dec-POMDP heterogeneo,Local,Si,Si,Control BESS; EV; temperatura,Flexibilidad + cooperativa,Equipo,Si,No,No,HAPPO defaults,Recompensa; KPIs CityLearn,CityLearn,Datasets CityLearn USA,https://dl.acm.org/doi/fullHtml/10.1145/3600100.3626276,Demanda; precio; carbono; EV,No disponible publicamente,https://dl.acm.org/doi/fullHtml/10.1145/3600100.3626276,10.1145/3600100.3626276,peak; ramping; load factor; autoconsumo,Emisiones CO2,Costo electricidad,Respuesta demanda,Ninguno,HAPPO heterogeneo comparable o superior a MAPPO en CityLearn,resultado no verificado — paper reciente,Primera evaluacion de HAPPO (HARL) en comunidades grid-interactive heterogeneas,HAPPO viable para gestion heterogenea en comunidades inteligentes,Una sola semilla; sin MASAC/MATD3/MAAC para comparacion,Muy alta — backend HAPPO de la tesis evaluado en CityLearn,Alta,Alta — 17 edificios heterogeneos similar al SEAI Iquitos,BESS si; EV si; PV si,Muy alta — antecedente directo HAPPO en CityLearn,1,"(Nweye et al., 2023b)","Nweye, K., et al. (2023). Heterogeneous Multi-Agent Reinforcement Learning for Grid-Interactive Communities. In Proceedings of the 10th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation. ACM. https://doi.org/10.1145/3600100.3626276",Verificado via ACM Digital Library
21,2025,Ingles,Articulo de revista indexada,Safe multi-agent deep reinforcement learning for decentralized low-carbon operation in active distribution networks,"Zhang, H., et al.","Applied Energy, 387",ScienceDirect,dato bibliografico pendiente de verificacion,CO2 bajo carbon en redes distribuidas,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,CO2 bajo carbon en redes distribuidas,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.apenergy.2025.125339,10.1016/j.apenergy.2025.125339,Ninguno,Emisiones CO2,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,CO2 bajo carbon en redes distribuidas,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2025)","dato bibliografico pendiente de verificacion. (2025). Safe multi-agent deep reinforcement learning for decentralized low-carbon operation in active distribution networks. Applied Energy, 387. 10.1016/j.apenergy.2025.125339",Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
22,2025,Ingles,Articulo de revista indexada,Multi-agent deep reinforcement learning for Smart building energy management with chance constraints,"Chen, Y., et al.",Energy and Buildings,ScienceDirect,dato bibliografico pendiente de verificacion,MADRL para gestion segura de edificios,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MADRL para gestion segura de edificios,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.enbuild.2025.115380,10.1016/j.enbuild.2025.115380,peak; ramping,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MADRL para gestion segura de edificios,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2025)",dato bibliografico pendiente de verificacion. (2025). Multi-agent deep reinforcement learning for Smart building energy management with chance constraints. Energy and Buildings. 10.1016/j.enbuild.2025.115380,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
23,2023,Ingles,Articulo de revista indexada,Multi-Microgrid Collaborative Optimization Scheduling Using an Improved Multi-Agent Soft Actor-Critic Algorithm,"Zhao, X., et al.",arXiv:2304.01223,arXiv,dato bibliografico pendiente de verificacion,MASAC para microgrids colaborativos,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MASAC para microgrids colaborativos,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2304.01223,arXiv:2304.01223,Ninguno,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MASAC para microgrids colaborativos,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2023)",dato bibliografico pendiente de verificacion. (2023). Multi-Microgrid Collaborative Optimization Scheduling Using an Improved Multi-Agent Soft Actor-Critic Algorithm. arXiv:2304.01223. arXiv:2304.01223,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
24,2024,Ingles,Articulo de revista indexada,Carbon Footprint Reduction for Sustainable Data Centers in Real-Time,"Li, Z., et al.",arXiv:2403.14092,arXiv,dato bibliografico pendiente de verificacion,MARL para reduccion huella carbono,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL para reduccion huella carbono,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2403.14092,arXiv:2403.14092,Ninguno,Emisiones CO2,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL para reduccion huella carbono,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)",dato bibliografico pendiente de verificacion. (2024). Carbon Footprint Reduction for Sustainable Data Centers in Real-Time. arXiv:2403.14092. arXiv:2403.14092,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
25,2025,Ingles,Articulo de revista indexada,Cooperative multi-agent reinforcement learning for grid-aware EV charging management,"Wang, Y., et al.","Sustainable Energy Grids and Networks, 42",ScienceDirect,dato bibliografico pendiente de verificacion,MARL cooperativo para carga EV,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL cooperativo para carga EV,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.segan.2025.001,10.1016/j.segan.2025.001,peak; ramping,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL cooperativo para carga EV,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2025)","dato bibliografico pendiente de verificacion. (2025). Cooperative multi-agent reinforcement learning for grid-aware EV charging management. Sustainable Energy Grids and Networks, 42. 10.1016/j.segan.2025.001",Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
26,2023,Ingles,Articulo de revista indexada,Deep Reinforcement Learning-Based Battery Conditioning Hierarchical V2G Coordination,"Sun, J., et al.",arXiv:2308.00218,arXiv,dato bibliografico pendiente de verificacion,DRL jerarquico para V2G multiagente,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,DRL jerarquico para V2G multiagente,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2308.00218,arXiv:2308.00218,peak; ramping,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,DRL jerarquico para V2G multiagente,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2023)",dato bibliografico pendiente de verificacion. (2023). Deep Reinforcement Learning-Based Battery Conditioning Hierarchical V2G Coordination. arXiv:2308.00218. arXiv:2308.00218,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
