variable,dimension,indicator,objective_axis,scenario,measurement_source,instrument,technique,scale,interpretation_rule
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,grid_export_baseline,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,grid_export_delta,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,peak_average,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,ramping_average,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,one_minus_load_factor_average,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,pv_generation_total,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,pv_generation_daily_average,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,pv_export_total,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,pv_export_daily_average,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,pv_self_consumption_ratio,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,community_local_traded_total,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,community_local_traded_daily_average,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,community_import_share,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,battery_charge_total,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,battery_discharge_total,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,battery_throughput_total,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,battery_equivalent_full_cycles,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,battery_capacity_fade_ratio,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,ev_departure_count,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,ev_departure_met_count,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,ev_departure_within_tolerance_count,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,ev_departure_success_rate,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,ev_departure_within_tolerance_rate,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,ev_departure_soc_deficit_mean,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,ev_charge_total,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,ev_v2g_export_total,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Emisiones de CO2,carbon_emissions,OE2,E2,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Emisiones de CO2,carbon_emissions_control,OE2,E2,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Emisiones de CO2,carbon_emissions_baseline,OE2,E2,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Emisiones de CO2,carbon_emissions_delta,OE2,E2,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Emisiones de CO2,carbon_emissions_daily_average_control,OE2,E2,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Emisiones de CO2,carbon_emissions_daily_average_baseline,OE2,E2,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Emisiones de CO2,carbon_emissions_daily_average_delta,OE2,E2,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Costos energeticos,electricity_cost,OE3,E3,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Costos energeticos,electricity_cost_control,OE3,E3,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Costos energeticos,electricity_cost_baseline,OE3,E3,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
